effective_date,added_ticker,added_security,removed_ticker,removed_security,reason,announcement_date
2013-12-23,FB,Facebook,TER,Teradyne,Market capitalization changes.[191],2013-12-16
2013-12-10,GGP,General Growth Properties,MOLX,Molex,MOLX acquired by Koch Industries.[192],2013-12-03
2013-12-02,ALLE,Allegion,JCP,JCPenney,Allegion spun off by Ingersoll Rand.[193],2013-11-25
2013-11-13,KORS,Michael Kors,NYX,NYSE Euronext,ICE Exchange acquired NYSE Euronext.[194],2013-11-06
2013-10-29,RIG,Transocean,DELL,Dell,Founder Michael Dell and Silver Lake Partners acquired Dell.[195],2013-10-22
2013-09-20,VRTX,Vertex Pharmaceuticals,AMD,Advanced Micro Devices,Market capitalization change.[196],2013-09-13
2013-09-20,AME,Ametek,SAI,SAIC,Market capitalization change.[196],2013-09-13
2013-09-10,DAL,Delta Air Lines,BMC,BMC Software,BMC taken private by consortium[197],2013-09-03
2013-07-08,NLSN,Nielsen Holdings,S,Sprint Nextel,Softbank consortium purchase results in public float below 50%[198],2013-07-01
2013-07-01,NWSA,21st Century Fox,APOL,Apollo Education Group,Apollo Group's market cap more representative of a mid-cap[199],2013-06-24
2013-06-21,ZTS,Zoetis,FHN,First Horizon,Zoetis spun off by Pfizer[200],2013-06-14
2013-06-06,GM,General Motors,HNZ,Heinz,HNZ acquired by consortium[201],2013-05-30
2013-05-23,KSU,Kansas City Southern,DF,Dean Foods,DF too small after spinoff of White Wave Foods[202],2013-05-16
2013-05-08,MAC,Macerich,CVH,Coventry Health Care,Acquired by Aetna (AET)[203],2013-05-01
2013-04-30,REGN,Regeneron Pharmaceuticals,PCS,MetroPCS,A majority of MetroPCS was acquired by T-Mobile[204],2013-04-23
2013-02-15,PVH,PVH,BIG,Big Lots,Market capitalization changes[205],2013-02-08
2013-01-02,ABBV,AbbVie,FII,Federated Investors,ABBV spun off from Abbott Labs (ABT)[206],2012-12-26
2012-12-21,DLPH,Delphi Automotive,TIE,Titanium Metals,TIE acquired by Precision Cast Parts (PCP)[207],2012-12-14
2012-12-11,GRMN,Garmin,RRD,RR Donnelley,Market capitalization changes[208],2012-12-04
2012-12-03,DG,Dollar General,CBE,Cooper Industries,Acquired by Eaton Corp. (ETN)[209],2012-11-26
2012-10-10,PETM,PetSmart,SUN,Sunoco,Acquired by Energy Transfer Partners (ETP)[210],2012-10-03
2012-10-02,KRFT,Kraft Foods,ANR,Alpha Natural Resources,Kraft split into two companies[211],2012-09-25
2012-10-02,MDLZ,Mondelez,KFT,Kraft Foods,Old Kraft Foods renamed Mondelez[212],2012-09-25
2012-10-01,ADT,ADT,LXK,Lexmark,Tyco spun off ADT,2012-09-24
2012-10-01,PNR,Pentair,DV,DeVry,Tyco spin-off merged w/Pentair,2012-09-24
2012-09-05,LYB,LyondellBasell,SHLD,Sears Holdings,SHLD below public float threshold,2012-08-29
2012-07-31,ESV,Ensco,GR,Goodrich Corporation,Goodrich acquired by United Technologies (UTX).[213],2012-07-24
2012-07-02,STX,Seagate Technology,PGN,Progress Energy,Acquired by Duke Energy (DUK)[214],2012-06-25
2012-06-29,MNST,Monster Beverage,SLE,Sara Lee Corporation,Split up of Sara Lee[215],2012-06-22
2012-06-05,LRCX,Lam Research,NVLS,Novellus Systems,Acquired by Lam Research (LRCX)[216],2012-05-29
2012-05-21,ALXN,Alexion Pharmaceuticals,MMI,Motorola Mobility,Acquired by Google (GOOG)[217],2012-05-14
2012-05-17,KMI,Kinder Morgan,EP,El Paso Corporation,Acquired by Kinder Morgan (KMI)[218],2012-05-10
2012-04-23,PSX,Phillips 66,SVU,Supervalu,ConocoPhillips spun off Phillips 66[219],2012-04-16
2012-04-03,FOSL,Fossil,MHS,Medco Health Solutions,Acquired by Express Scripts (ESRX)[220],2012-03-27
2012-03-13,CCI,Crown Castle,CEG,Constellation Energy Group,Acquired by Exelon Corp. (EXC)[221],2012-03-06
2011-12-31,WPX,WPX Energy,CPWR,Compuware,Market capitalization changes[222],2011-12-26
2011-12-20,TRIP,TripAdvisor,TLAB,Tellabs,Expedia spun off TripAdvisor.[223],2011-12-13
2011-12-16,BWA,BorgWarner,AKS,AK Steel,Market capitalization changes[224],2011-12-09
2011-12-16,PRGO,Perrigo,MWW,Monster Worldwide,Market capitalization changes,2011-12-09
2011-12-16,DLTR,Dollar Tree,WFR,MEMC Electronic Materials,Market capitalization changes,2011-12-09
2011-12-12,GAS,AGL Resources.,GAS,Nicor Gas,"Nicor acquired by AGL, which retained the GAS ticker.[225]",2011-12-05
2011-11-18,CBE,Cooper Industries,JNS,Janus Capital Group,Janus Capital Group's market capitalization is less than $1.2 billion  and is no longer representative of the large cap market space.[226],2011-11-11
2011-10-31,XYL,Xylem,ITT,ITT,Spun off from ITT Corp.[227],2011-10-24
2011-10-14,TEL,TE Connectivity,CEPH,Cephalon,Acquired by Teva Pharmaceutical Industries (TEVA).[228],2011-10-07
2011-09-23,MOS,The Mosaic Company,NSM,National Semiconductor,Acquired by Texas Instruments (TXN).[229],2011-09-16
2011-07-05,ACN,Accenture,MI,Marshall & Ilsley,Marshall & Iisley is being bought by Bank of Montreal[230],2011-06-28
2011-06-30,MPC,Marathon Oil,RSH,RadioShack,Market capitalization adjustments.[231],2011-06-23
2011-06-01,ANR,Alpha Natural Resources,MEE,Massey Energy,Alpha Natural Resources acquired Massey Energy.[232],2011-05-25
2011-04-27,CMG,Chipotle Mexican Grill,NOVL,Novell,Acquired by private equity firms.[233],2011-04-20
2011-04-01,BLK,BlackRock,GENZ,Genzyme,Acquired by Sanofi Aventis (SNY)[234],2011-03-25
2011-03-31,EW,Edwards Lifesciences,Q,Qwest Communications,Acquired by CenturyLink[235],2011-03-24
2011-02-28,COV,Covidien,MFE,McAfee,Acquired by Intel[236],2011-02-21
2011-02-25,JOYG,Joy Global,AYE,Allegheny Energy,Acquired by First Energy (FE).[237],2011-02-18
2011-01-03,MMI,Motorola Mobility,MDP,Meredith Corp,S&P constituent Motorola spun off Motorola Mobility.[238],2010-12-27
2010-12-17,CVC,Cablevision,KG,King Pharmaceuticals,Acquired by Pfizer.[239],2010-12-10
2010-12-17,FFIV,F5 Networks,EK,Eastman Kodak,Market Cap changes.[239],2010-12-10
2010-12-17,NFLX,Netflix,ODP,Office Depot,Market Cap changes.,2010-12-10
2010-12-17,NFX,Newfield Exploration,NYT,The New York Times Company,Market Cap changes.,2010-12-10
2010-11-17,IR,Ingersoll-Rand,PTV,Pactiv,Reynolds Group Holdings acquired Pactiv.[240],2010-11-10
2010-08-26,TYC,Tyco International,SII,Smith International,Acquired by Schlumberger (SLB)[241],2010-08-19
2010-07-14,CB,Chubb,MIL,Millipore,Acquired by Merck KGaA (MKGAY)[242],2010-07-07
2010-06-30,QEP,QEP Resources,STR,Questar,"Company split. QEP retained, but ticker changed.[243]",2010-06-23
2010-06-28,KMX,CarMax,XTO,XTO Energy,Acquired by ExxonMobil[244],2010-06-21
2010-04-29,CERN,Cerner,BJS,BJ Services,Acquired by Baker Hughes[245],2010-04-22
2010-02-26,HP,Helmerich & Payne,RX,IMS Health,Taken private,2010-02-19
